game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
U0blxaCD,0,0,0,0,0,0,0,0,0,0
J5sQegNN,0,0,0,0,0,0,0,0,0,0
qFbb4bHD,0,0,0,0,0,1,0,0,0,0
fMOs2Xyq,0,0,0,0,0,0,0,0,0,0
ynwsyiOs,0,0,0,0,0,0,0,0,0,0
iFQaD3ne,1,0,0,0,0,0,0,0,0,0
vxwmue90,0,0,0,0,0,0,0,0,0,0
qcFlK12a,0,0,0,0,0,0,0,0,0,0
c3S6pwho,1,0,0,0,0,0,0,0,0,0
W7Q3lz1u,0,0,0,0,0,0,0,0,0,0
KMKGdd3q,0,0,0,0,0,0,0,0,0,0
s3dWApFL,0,0,0,0,0,0,0,0,0,0
YCKpBlSV,0,0,0,0,0,1,0,0,0,0
9UODhHQx,0,0,0,0,0,0,0,0,0,0
567M52nH,1,0,0,0,0,0,0,0,0,0
PUWAV5eF,0,0,0,1,0,0,0,0,0,0
quNB8MBd,0,0,0,0,0,0,0,0,0,0
4Jb5P27K,0,0,0,0,0,0,0,0,0,0
1fDEKovc,0,0,0,0,0,0,0,0,0,0
CfCEjCd9,0,0,0,0,0,0,0,0,0,0
35ARvehK,0,0,0,0,0,0,0,0,0,0
0I8isePh,0,0,0,0,0,0,0,0,0,0
lYDkSewq,1,0,0,0,0,0,0,0,0,0
cd6MkxXy,0,0,0,0,0,0,0,0,0,0
Uv9aX6gf,0,0,0,0,0,0,0,0,0,0
8eAhtFrO,0,0,0,0,0,0,0,0,0,0
2pbch9VD,0,0,0,0,0,0,0,0,0,0
PuQmQk5z,0,0,0,0,0,0,0,0,0,0
UHWDhORf,1,0,0,0,0,0,0,0,0,0
blELz5do,0,0,0,0,0,1,0,0,0,0
H9xvcQyi,0,0,0,0,0,0,0,0,0,0
1X4CsHyE,0,0,0,0,0,0,0,0,0,0
aOiGiuVQ,1,0,0,0,0,0,0,0,0,0
P3yUBGNg,0,0,0,0,0,0,0,0,0,0
lKLmZbN4,0,0,0,0,0,0,0,0,0,0
oZevainv,0,0,0,0,0,0,0,0,0,0
xEgEd0Jp,0,0,0,0,0,0,0,0,0,0
CNvgxBva,0,0,0,0,0,0,0,0,0,0
y5e13wHW,0,0,0,0,0,0,0,0,0,0
HinqIc0K,0,0,0,0,0,0,0,0,0,0
OVMQCCsA,0,0,0,0,0,1,0,0,0,0
3fJ82mwA,1,0,0,0,0,0,0,0,0,0
3XXavVCU,0,0,0,0,0,0,0,0,0,0
j0C88DNn,0,0,0,0,0,0,0,0,0,0
qWP1Vd6I,0,0,0,0,0,0,0,0,0,0
eEcvJqeE,0,1,0,0,0,0,0,0,0,0
xHMErIWe,0,0,0,0,0,0,0,0,0,0
30XD07iM,0,0,0,0,0,0,0,0,0,0
mwWeUgpO,1,0,0,0,0,0,0,0,0,0
ly3XaJvz,0,0,0,0,0,0,0,0,0,0
HLgZJCGm,0,0,0,0,0,0,0,0,0,0
eWcBQKoE,0,0,0,0,0,0,0,0,0,0
OxZicdxm,0,0,0,0,0,0,0,0,0,0
fS2JlAaP,0,0,0,0,0,0,0,0,0,0
Rle83P53,0,0,0,0,0,0,0,0,0,0
ZnQ3wPYl,0,0,0,0,0,1,0,0,0,0
RC6Aor3j,0,0,0,0,0,0,0,0,0,0
7l4SdZL0,0,0,0,0,0,0,0,0,0,0
G4C5a4NJ,0,0,0,0,0,0,0,0,0,0
Vu7rtlEJ,0,0,0,0,0,0,0,0,0,0
QXLc1x3L,0,0,0,0,0,0,0,0,0,0
NmjiVauK,0,0,0,0,0,0,0,0,0,0
lOOrgN6o,0,0,0,0,0,0,0,0,1,0
NFEc9Lrc,0,0,0,0,0,0,0,0,0,0
7qWThzU8,0,0,0,0,0,0,0,0,0,0
x1aeAXuh,0,0,0,0,0,0,0,0,0,0
q0hHJkle,0,0,0,0,0,0,0,0,0,0
276O9aM5,0,0,0,0,0,0,0,0,0,0
ZGhKWxG2,0,0,0,0,0,0,0,0,0,0
BXhLHwB9,0,0,0,0,0,0,0,0,0,0
tTXUo1TQ,1,0,0,0,0,0,0,0,0,0
i3MOwltI,0,0,0,0,0,0,0,0,0,0
rElobFl9,0,0,0,0,1,0,0,0,0,0
XkF0jwDh,0,0,0,0,0,0,0,0,0,0
6zNIvBDY,0,0,0,0,0,1,0,0,0,0
n9ofsw93,0,0,0,0,0,0,0,0,0,0
3dCb1Kig,0,0,0,0,0,0,0,0,0,0
h1LT5nkq,0,0,0,0,0,0,0,0,0,0
NOEBXxG6,0,0,0,0,0,0,0,0,0,0
QtPZsZ6A,0,0,0,0,0,1,0,0,0,0
j7RwjO3t,0,0,0,0,0,0,0,0,0,0
PoktrRrc,0,0,0,0,0,0,0,0,0,0
LnUpRGmJ,0,0,0,0,0,0,0,0,0,0
m5cfaWE5,0,0,0,0,0,0,0,0,0,0
V3DSMpWu,0,0,0,0,0,0,0,0,0,0
9xiokMuZ,1,0,0,0,0,0,0,0,0,0
SNBI2VHN,1,0,0,0,0,0,0,0,0,0
