game_id,king_w,queen_w,rooks_w,bishops_w,knights_w,pawns_w,king_b,queen_b,rooks_b,bishops_b,knights_b,pawns_b
CxLbH8IL,8,9,52,12,12,19,15,1,34,14,12,14
50uFex90,3,0,8,10,18,16,2,3,13,10,30,6
U0blxaCD,2,6,2,6,12,6,2,8,2,9,6,4
J5sQegNN,2,2,2,7,9,5,2,0,2,1,9,5
qFbb4bHD,2,11,13,9,33,12,3,18,14,10,9,14
fMOs2Xyq,8,2,14,6,21,13,3,20,14,9,15,8
ynwsyiOs,1,9,3,4,6,7,0,1,2,7,12,5
iFQaD3ne,2,14,5,13,18,5,2,0,2,8,24,8
vxwmue90,3,7,12,10,15,13,4,11,6,13,6,14
qcFlK12a,3,5,2,9,15,11,5,2,13,6,12,7
c3S6pwho,0,6,0,3,0,5,0,0,0,3,9,2
W7Q3lz1u,3,7,0,12,6,18,2,9,11,16,12,3
KMKGdd3q,3,15,7,11,27,16,4,11,9,21,6,11
s3dWApFL,18,4,66,22,21,12,20,9,50,26,15,18
YCKpBlSV,16,0,28,6,21,19,7,18,17,16,42,15
9UODhHQx,4,5,19,11,21,11,3,4,21,9,9,10
567M52nH,7,24,13,11,9,7,8,3,32,9,12,12
PUWAV5eF,2,0,2,6,9,7,1,1,0,1,3,9
quNB8MBd,2,6,2,5,12,6,2,8,3,8,12,7
4Jb5P27K,2,18,25,10,21,7,9,8,18,9,18,11
1fDEKovc,19,8,26,10,27,20,26,10,34,8,15,14
CfCEjCd9,7,4,16,18,84,13,22,7,8,27,27,15
35ARvehK,0,0,0,0,3,2,0,0,0,0,0,3
0I8isePh,3,0,33,8,72,10,19,2,45,13,9,16
lYDkSewq,1,6,0,3,0,5,0,0,0,6,9,2
cd6MkxXy,3,7,38,13,30,12,6,19,16,7,9,16
Uv9aX6gf,8,5,45,15,15,14,16,4,43,8,24,12
8eAhtFrO,5,20,13,5,15,7,4,18,8,10,9,8
2pbch9VD,2,10,21,11,12,6,3,6,12,12,24,10
PuQmQk5z,0,0,0,4,12,7,0,0,2,3,12,4
UHWDhORf,0,9,5,13,21,10,8,4,4,2,21,9
blELz5do,3,4,13,12,21,11,2,7,19,11,27,12
H9xvcQyi,0,0,0,0,6,5,0,3,0,0,0,5
1X4CsHyE,2,20,2,5,9,11,4,3,15,10,18,8
aOiGiuVQ,2,15,5,6,21,9,5,4,12,7,12,7
P3yUBGNg,21,0,40,28,30,15,15,7,45,29,18,21
lKLmZbN4,3,7,7,8,12,9,3,3,12,12,12,10
oZevainv,1,7,0,3,6,2,1,6,0,3,6,2
xEgEd0Jp,4,7,13,6,24,16,3,0,20,16,30,9
CNvgxBva,2,8,18,7,27,8,4,4,6,7,24,5
y5e13wHW,6,11,12,5,24,5,0,21,3,5,15,7
HinqIc0K,2,5,8,8,12,6,2,7,2,9,9,8
OVMQCCsA,36,7,17,11,15,21,9,8,29,26,51,22
3fJ82mwA,2,5,14,9,9,7,4,8,2,9,9,4
3XXavVCU,2,4,2,12,6,5,2,6,2,6,15,4
j0C88DNn,5,17,36,15,15,12,4,17,17,18,21,17
qWP1Vd6I,3,4,2,5,9,6,2,0,9,7,9,7
eEcvJqeE,2,21,16,5,18,15,6,8,22,13,12,14
xHMErIWe,3,16,25,9,21,12,3,13,31,20,15,7
30XD07iM,2,9,19,11,15,7,5,10,14,15,12,8
mwWeUgpO,3,15,0,10,6,6,4,10,0,4,12,6
ly3XaJvz,7,4,14,10,54,19,8,6,26,8,45,16
HLgZJCGm,35,5,38,14,33,18,16,2,71,20,9,29
eWcBQKoE,2,7,8,4,24,3,1,4,0,9,0,14
OxZicdxm,15,3,13,24,12,9,3,6,27,13,57,10
fS2JlAaP,6,33,16,11,15,16,8,5,35,7,33,13
Rle83P53,6,18,11,8,18,12,2,10,34,15,18,10
ZnQ3wPYl,7,13,21,7,15,10,2,34,9,14,15,8
RC6Aor3j,4,3,5,4,6,8,0,6,0,10,6,5
7l4SdZL0,2,2,2,7,12,5,2,6,2,7,6,4
Vu7rtlEJ,3,11,8,17,12,8,3,6,12,12,21,11
QXLc1x3L,7,16,5,12,12,11,4,6,14,18,12,8
NmjiVauK,2,6,4,16,30,7,5,6,8,6,9,12
lOOrgN6o,3,0,6,6,27,11,2,15,3,6,24,11
NFEc9Lrc,2,10,4,12,9,11,2,11,4,9,18,7
7qWThzU8,3,4,22,10,57,16,15,3,11,8,18,15
x1aeAXuh,0,4,0,0,6,5,0,0,0,0,0,8
q0hHJkle,2,0,3,8,24,10,1,9,0,11,15,8
276O9aM5,2,4,9,10,9,14,2,5,2,8,12,13
ZGhKWxG2,18,6,19,30,21,15,10,2,21,11,18,26
BXhLHwB9,2,1,10,10,12,10,2,10,5,8,12,7
